,iteration,metric,value
518,25900,mse,2.6673794808837905
519,25900,$\mathcal{HU}_p$,-1.00005042552948
520,26000,mse,2.6663646516878905
521,26000,$\mathcal{HU}_p$,-0.9924410581588745
522,26100,mse,2.666181305699445
523,26100,$\mathcal{HU}_p$,-0.9911046028137207
524,26200,mse,2.665942303253966
525,26200,$\mathcal{HU}_p$,-0.9928587675094604
526,26300,mse,2.665740899956811
527,26300,$\mathcal{HU}_p$,-0.9934517741203308
528,26400,mse,2.665526793795196
529,26400,$\mathcal{HU}_p$,-0.9931697845458984
530,26500,mse,2.665504658284628
531,26500,$\mathcal{HU}_p$,-0.991574227809906
532,26600,mse,2.6650946323026146
533,26600,$\mathcal{HU}_p$,-0.9935200214385986
534,26700,mse,2.6653368900728047
535,26700,$\mathcal{HU}_p$,-0.9984554648399353
536,26800,mse,2.664653055551443
537,26800,$\mathcal{HU}_p$,-0.9938908219337463
538,26900,mse,2.66443007109053
539,26900,$\mathcal{HU}_p$,-0.993713915348053
540,27000,mse,2.6642071203481104
541,27000,$\mathcal{HU}_p$,-0.99424147605896
542,27100,mse,2.6643073446191687
543,27100,$\mathcal{HU}_p$,-0.997100293636322
544,27200,mse,2.6637520608135232
545,27200,$\mathcal{HU}_p$,-0.9946272969245911
546,27300,mse,2.6639248076202895
547,27300,$\mathcal{HU}_p$,-0.9890684485435486
548,27400,mse,2.6632883645604872
549,27400,$\mathcal{HU}_p$,-0.9950438737869263
550,27500,mse,2.6630665555115316
551,27500,$\mathcal{HU}_p$,-0.9947763681411743
552,27600,mse,2.6628141449267453
553,27600,$\mathcal{HU}_p$,-0.9953874349594116
554,27700,mse,2.6626343914019914
555,27700,$\mathcal{HU}_p$,-0.9940243363380432
556,27800,mse,2.6623315684698774
557,27800,$\mathcal{HU}_p$,-0.995819091796875
558,27900,mse,2.6620921640049735
559,27900,$\mathcal{HU}_p$,-0.9952400326728821
560,28000,mse,2.6618407450272827
561,28000,$\mathcal{HU}_p$,-0.9962313771247864
562,28100,mse,2.66159739004514
563,28100,$\mathcal{HU}_p$,-0.9957921504974365
564,28200,mse,2.661343910761481
565,28200,$\mathcal{HU}_p$,-0.9966360926628113
566,28300,mse,2.6611233203968334
567,28300,$\mathcal{HU}_p$,-0.998103678226471
568,28400,mse,2.6608352983235806
569,28400,$\mathcal{HU}_p$,-0.997008740901947
570,28500,mse,2.660594042635019
571,28500,$\mathcal{HU}_p$,-0.9961292147636414
572,28600,mse,2.6603130663827996
573,28600,$\mathcal{HU}_p$,-0.9975005984306335
574,28700,mse,2.660055034190217
575,28700,$\mathcal{HU}_p$,-0.9977080225944519
576,28800,mse,2.6597843113965105
577,28800,$\mathcal{HU}_p$,-0.9979376196861267
578,28900,mse,2.6595257299068953
579,28900,$\mathcal{HU}_p$,-0.9985111951828003
580,29000,mse,2.6592434566874443
581,29000,$\mathcal{HU}_p$,-0.9983021020889282
582,29100,mse,2.658981804315865
583,29100,$\mathcal{HU}_p$,-0.9991059899330139
584,29200,mse,2.6586928525690423
585,29200,$\mathcal{HU}_p$,-0.9988267421722412
586,29300,mse,2.6584259163988095
587,29300,$\mathcal{HU}_p$,-0.9983307719230652
588,29400,mse,2.658130676740863
589,29400,$\mathcal{HU}_p$,-0.9991762638092041
590,29500,mse,2.657855362363819
591,29500,$\mathcal{HU}_p$,-0.9999185800552368
592,29600,mse,2.6575593146192924
593,29600,$\mathcal{HU}_p$,-0.9991905093193054
594,29700,mse,2.657269430170531
595,29700,$\mathcal{HU}_p$,-0.9995726943016052
596,29800,mse,2.6623411622803514
597,29800,$\mathcal{HU}_p$,-0.9827026128768921
598,29900,mse,2.656678230753415
599,29900,$\mathcal{HU}_p$,-1.0001628398895264
600,30000,mse,2.656376155025783
601,30000,$\mathcal{HU}_p$,-0.9999868869781494
602,30100,mse,2.6560747784799537
603,30100,$\mathcal{HU}_p$,-1.0005825757980347
604,30200,mse,2.6557600331567905
605,30200,$\mathcal{HU}_p$,-1.001493215560913
606,30300,mse,2.6554558244227975
607,30300,$\mathcal{HU}_p$,-1.0016955137252808
608,30400,mse,2.6553884255398814
609,30400,$\mathcal{HU}_p$,-1.0052692890167236
610,30500,mse,2.654824145553893
611,30500,$\mathcal{HU}_p$,-1.0015100240707397
612,30600,mse,2.6544923407720953
613,30600,$\mathcal{HU}_p$,-1.0023021697998047
614,30700,mse,2.6541813130392677
